State Name,Date,AQI,Category,Defining Parameter,Latitude,Longitude,County Name
Hawaii,1980-01-20,16,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-01-21,30,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-01-22,16,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-01-23,28,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-01-24,25,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-01-25,12,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-01-26,13,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-01-27,13,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-01-28,8,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-01-29,5,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-01-30,10,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-01-31,11,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-01,7,Good,CO,21.390861,-157.96525,Honolulu
Hawaii,1980-02-02,0,Good,CO,21.390861,-157.96525,Honolulu
Hawaii,1980-02-03,0,Good,CO,21.390861,-157.96525,Honolulu
Hawaii,1980-02-04,0,Good,CO,21.390861,-157.96525,Honolulu
Hawaii,1980-02-06,10,Good,CO,21.390861,-157.96525,Honolulu
Hawaii,1980-02-07,5,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-08,5,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-09,11,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-10,20,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-11,18,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-12,7,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-13,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-14,10,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-15,22,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-16,28,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-17,22,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-18,14,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-19,7,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-20,10,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-21,5,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-22,6,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-23,5,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-24,6,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-25,15,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-26,15,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-27,6,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-28,29,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-02-29,31,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-01,33,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-02,23,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-03,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-04,19,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-05,22,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-06,25,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-07,17,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-08,26,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-09,33,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-10,32,Good,Ozone,21.390861,-157.96525,Honolulu
Hawaii,1980-03-11,32,Good,Ozone,21.390861,-157.96525,Honolulu
