,title,signed_on,url,summary,categories,tags
13,"Executive Order No. 168, s. 2022","April 25, 2022",https://www.officialgazette.gov.ph/2022/04/25/executive-order-no-168-s-2022/,TRANSFERRING THE NATIONAL IRRIGATION ADMINISTRATION FROM THE OFFICE OF THE PRESIDENT TO THE DEPARTMENT OF AGRICULTURE,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
14,"Executive Order No. 167, s. 2022","April 6, 2022",https://www.officialgazette.gov.ph/2022/04/06/executive-order-no-167-s-2022/,"STRENGTHENING THE PHILIPPINE COMMISSION ON WOMEN, FURTHER AMENDING EXECUTIVE ORDER NO. 208 (S. 1994), AS AMENDED, FOR THE PURPOSE","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
15,"Executive Order No. 166, s. 2022","March 21, 2022",https://www.officialgazette.gov.ph/2022/03/21/executive-order-no-166-s-2022/,"MALACAÑAN PALACE MANILA BY THE PRESIDENT OF THE PHILIPPINES EXECUTIVE ORDER NO. 166 ADOPTING THE TEN-POINT POLICY AGENDA TO ACCELERATE AND SUSTAIN ECONOMIC RECOVERY FROM THE COVID-19 PANDEMIC, AND DIRECTING A WHOLE-OF-GOVERNMENT APPROACH TO ALIGN ALL ECONOMIC RECOVERY PROGRAMS AND MEASURES OF THE NATIONAL GOVERNMENT","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
16,"Executive Order No. 165, s. 2022","March 21, 2022",https://www.officialgazette.gov.ph/2022/03/21/executive-order-no-165-s-2022/,PRESCRIBING REGULATIONS ON OUT-OF-HOME ADVERTISING SIGNS AND BILLBOARDS,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
17,"Executive Order No. 164, s. 2022","February 28, 2022",https://www.officialgazette.gov.ph/2022/02/28/executive-order-no-164-s-2022/,"ADOPTING A NATIONAL POSITION FOR A NUCLEAR ENERGY PROGRAM, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
18,"Executive Order No. 163, s. 2022","February 28, 2022",https://www.officialgazette.gov.ph/2022/02/28/executive-order-no-163-s-2022/,"INSTITUTIONALIZING ACCESS TO PROTECTION SERVICES FOR REFUGEES, STATELESS PERSONS AND ASYLUM SEEKERS","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
19,"Executive Order No. 162, s. 2022","February 14, 2022",https://www.officialgazette.gov.ph/2022/02/14/executive-order-no-162-s-2022/,INSTITUTIONALIZING THE ACCEPTANCE OF THE PHILIPPINE IDENTIFICATION OR PHILIPPINE IDENTIFICATION SYSTEM NUMBER AS SUFFICIENT PROOF OF IDENTITY AND AGE IN ALL GOVERNMENT AND PRIVATE TRANSACTIONS,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
20,"Executive Order No. 161, s. 2022","January 27, 2022",https://www.officialgazette.gov.ph/2022/01/27/executive-order-no-161-s-2022/,TRANSFERRING THE OVERSIGHT OF THE FILM DEVELOPMENT COUNCIL OF THE PHILIPPINES FROM THE DEPARTMENT OF EDUCATION TO THE DEPARTMENT OF TRADE AND INDUSTRY,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
21,"Executive Order No. 160, s. 2021","December 29, 2021",https://www.officialgazette.gov.ph/2021/12/29/executive-order-no-160-s-2021/,ADJUSTING THE DIVIDEND RATE OF THE DEVELOPMENT BANK OF THE PHILIPPINES PURSUANT TO SECTION 5 OF REPUBLIC ACT NO. 7656,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
22,"Executive Order No. 159, s. 2021","December 28, 2021",https://www.officialgazette.gov.ph/2021/12/28/executive-order-no-159-s-2021/,"ADOPTING AN INTEGRATED APPROACH IN THE RATIFICATION AND ACCESSION TO INTERNATIONAL MARITIME ORGANIZATION CONVENTIONS AND INSTRUMENTS, AND RECONSTITUTING THE INTER-AGENCY COORDINATING COMMITTEE FOR THE PURPOSE","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
