,title,signed_on,url,summary,categories,tags
58,"Executive Order No. 123, s. 2021","January 15, 2021",https://www.officialgazette.gov.ph/2021/01/15/executive-order-no-123-s-2021/,"MALACAÑAN PALACE MANILA BY THE PRESIDENT OF THE PHILIPPINES EXECUTIVE ORDER NO. 123 MODIFYING THE RATES OF IMPORT DUTY ON CERTAIN AGRICULTURAL PRODUCTS UNDER SECTION 1611 OF THE REPUBLIC ACT NO. 10863, OTHERWISE KNOWN AS THE CUSTOMS MODERNIZATION AND TARIFF ACT","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
59,"Executive Order No. 122, s. 2020","December 15, 2020",https://www.officialgazette.gov.ph/2020/12/15/executive-order-no-122-s-2020/,STRENGTHENING BORDER CONTROL THROUGH THE ADOPTION AND IMPLEMENTATION OF THE ADVANCE PASSENGER INFORMATION SYSTEM,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
60,"Executive Order No. 121, s. 2020","December 1, 2020",https://www.officialgazette.gov.ph/2020/12/01/executive-order-no-121-s-2020/,"GRANTING AUTHORITY TO THE DIRECTOR GENERAL OF THE FOOD AND DRUG ADMINISTRATION TO ISSUE EMERGENCY USE AUTHORIZATION FOR COVID-19 DRUGS AND VACCINES, PRESCRIBING CONDITIONS THEREFOR, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
61,"Executive Order No. 120, s. 2020","November 18, 2020",https://www.officialgazette.gov.ph/2020/11/18/executive-order-no-120-s-2020/,STRENGTHENING REHABILITATION AND RECOVERY EFFORTS IN TYPHOON-HIT AREAS THROUGH THE CREATION OF THE BUILD BACK BETTER TASK FORCE,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
62,"Executive Order No. 119, s. 2020","November 17, 2020",https://www.officialgazette.gov.ph/2020/11/17/executive-order-no-119-s-2020/,"ESTABLISHING A NATIONAL GOVERNMENT ADMINISTRATIVE CENTER IN NEW CLARK CITY, CAPAS, TARLAC, PROVIDING FOR AN INTEGRATED GOVERNMENT CENTER OUTSIDE THE NATIONAL CAPITAL REGION IN CASE OF DISASTER, AND DIRECTING THE WHOLE-OF-GOVERNMENT TO ESTABLISH SATELLITE OFFICES THEREIN","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
63,"Executive Order No. 118, s. 2020","November 4, 2020",https://www.officialgazette.gov.ph/2020/11/04/executive-order-no-118-s-2020/,"DIRECTING THE DEPARTMENT OF HEALTH, IN COORDINATION WITH THE DEPARTMENT OF TRADE AND INDUSTRY, TO ENSURE ACCESSIBILITY AND AFFORDABILITY OF COVID-19 TESTS AND TEST KITS","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
64,"Executive Order No. 117, s. 2020","July 24, 2020",https://www.officialgazette.gov.ph/2020/07/24/executive-order-no-117-s-2020/,REDUCTION AND CONDONATION OF REAL PROPERTY TAXES AND INTEREST/PENALTIES ASSESSED ON THE POWER GENERATION FACILITIES OF INDEPENDENT POWER PRODUCERS UNDER BUILD-OPERATE-TRANSFER CONTRACTS WITH GOVERNMENT-OWNED OR -CONTROLLED CORPORATIONS,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
65,"Executive Order No. 116, s. 2020","July 24, 2020",https://www.officialgazette.gov.ph/2020/07/24/executive-order-no-116-s-2020/,"DIRECTING A STUDY FOR THE ADOPTION OF A NATIONAL POSITION ON A NUCLEAR ENERGY PROGRAM, CONSTITUTING A NUCLEAR ENERGY PROGRAM INTER-AGENCY COMMITTEE, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
66,"Implementing Rules and Regulations of Executive Order No. 114, s. 2020","June 4, 2020",https://www.officialgazette.gov.ph/2020/06/04/implementing-rules-and-regulations-of-executive-order-no-114-s-2020/,"Implementing Guidelines of Executive Order No. 114: Institutionalizing the Balik Probinsya, Bagong Pag-asa Program as a Pillar of Balanced Regional Development, Creating a Council Therefore, and for Other Purposes","['Executive Issuances', 'Executive Orders', 'Implementing Rules and Regulations of Executive Orders']","['Executive Issuances', 'Executive Orders', 'Implementing Rules and Regulations', 'Rodrigo Roa Duterte']"
67,"Executive Order No. 115, s. 2020","May 11, 2020",https://www.officialgazette.gov.ph/2020/05/11/executive-order-no-115-s-2020/,"EXTENDING THE TERM OF THE BORACAY INTER-AGENCY TASK FORCE, AMENDING FOR THE PURPOSE EXECUTIVE ORDER NO. 53 (S. 2018)","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
68,"Executive Order No. 114, s. 2020","May 6, 2020",https://www.officialgazette.gov.ph/2020/05/06/executive-order-no-114-s-2020/,"INSTITUTIONALIZING THE BALIK PROBINSYA, BAGONG PAG-ASA PROGRAM AS A PILLAR OF BALANCED REGIONAL DEVELOPMENT, CREATING A COUNCIL THEREFOR, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
69,"Executive Order No. 113, s. 2020","May 2, 2020",https://www.officialgazette.gov.ph/2020/05/02/executive-order-no-113-s-2020/,"MALACAÑAN PALACE MANILA BY THE PRESIDENT OF THE PHILIPPINES EXECUTIVE ORDER NO. 113 TEMPORARILY MODIFYING THE RATES OF IMPORT DUTY ON CRUDE PETROLEUM OIL AND REFINED PETROLEUM PRODUCTS UNDER SECTION 1611 OF REPUBLIC ACT NO. 10863, OTHERWISE KNOWN AS THE “CUSTOMS MODERNIZATION AND TARIFF ACT”","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
70,"Executive Order No. 112, s. 2020","April 30, 2020",https://www.officialgazette.gov.ph/2020/04/30/executive-order-no-112-s-2020/,"IMPOSING AN ENHANCED COMMUNITY QUARANTINE IN HIGH RISK GEOGRAPHIC AREAS OF THE PHILIPPINES AND A GENERAL COMMUNITY QUARANTINE IN THE REST OF THE COUNTRY FROM 01 TO 15 MAY 2020, ADOPTING THE OMNIBUS GUIDELINES ON THE IMPLEMENTATION THEREOF, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
71,"Executive Order No. 111, s. 2020","April 27, 2020",https://www.officialgazette.gov.ph/2020/04/27/executive-order-no-111-s-2020/,"RECONSTITUTING THE OFFICE OF THE PRESIDENTIAL SPOKESPERSON, ABOLISHING THE PRESIDENTIAL COMMUNICATIONS DEVELOPMENT AND STRATEGIC PLANNING OFFICE, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
72,"Executive Order No. 110, s. 2020","April 7, 2020",https://www.officialgazette.gov.ph/2020/04/07/executive-order-no-110-s-2020/,INSTITUTIONALIZING THE COMPREHENSIVE SOCIAL BENEFITS PROGRAM,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
73,"Executive Order No. 109, s. 2020","March 18, 2020",https://www.officialgazette.gov.ph/2020/03/18/executive-order-no-109-s-2020/,ADJUSTING THE DIVIDEND RATE OF THE LAND BANK OF THE PHILIPPINES PURSUANT TO SECTION 5 OF REPUBLIC ACT NO. 7656,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
74,"Executive Order No. 108, s. 2020","March 14, 2020",https://www.officialgazette.gov.ph/2020/03/14/executive-order-no-108-s-2020/,"DIRECTING THE PHILIPPINE CHARITY SWEEPSTAKES OFFICE TO SET ASIDE A PORTION OF THE STANDBY FUND UNDER EXECUTIVE ORDER NO. 201 (S. 2003) TO COVER THE FINANCIAL REQUIREMENTS OF THE NATIONAL GOVERNMENT’S RESPONSE TO CASES OF COVID-19 IN THE COUNTRY, AMENDING EO NO. 201 AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
75,"Executive Order No. 107, s. 2020","March 13, 2020",https://www.officialgazette.gov.ph/2020/03/13/executive-order-no-107-s-2020/,"RECONSTITUTING THE OFFICE FOR TRANSPORTATION SECURITY AND THE NATIONAL CIVIL AVIATION SECURITY COMMITTEE, DEFINING THEIR POWERS AND FUNCTIONS, AMENDING EXECUTIVE ORDER NOS. 277 (S. 2004) AND 311 (S. 2004) AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
76,"Executive Order No. 106, s. 2020","February 26, 2020",https://www.officialgazette.gov.ph/2020/02/26/executive-order-no-106-s-2020/,"PROHIBITING THE MANUFACTURE, DISTRIBUTION, MARKETING AND SALE OF UNREGISTERED AND/OR ADULTERATED ELECTRONIC NICOTINE/NON-NICOTINE DELIVERY SYSTEMS, HEATED TOBACCO PRODUCTS AND OTHER NOVEL TOBACCO PRODUCTS, AMENDING EXECUTIVE ORDER NO. 26 (S. 2017) AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
77,"Executive Order No. 105, s. 2020","February 21, 2020",https://www.officialgazette.gov.ph/2020/02/21/executive-order-no-105-s-2020/,https://www.officialgazette.gov.ph/downloads/2020/02feb/20200221-PROC-906-RRD-1.pdf,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
78,"Executive Order No. 104, s. 2020","February 17, 2020",https://www.officialgazette.gov.ph/2020/02/17/executive-order-no-104-s-2020/,IMPROVING ACCESS TO HEALTHCARE THROUGH THE REGULATION OF PRICES IN THE RETAIL OF DRUGS AND MEDICINES,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
79,"Executive Order No. 103, s. 2020","January 28, 2020",https://www.officialgazette.gov.ph/2020/01/28/executive-order-no-103-s-2020/,"RECONSTITUTING AND STRENGTHENING THE NATIONAL QUINCENTENNIAL COMMITTEE, AND AMENDING EXECUTIVE ORDER NO. 55 (S. 2018) FOR THE PURPOSE","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
80,"Executive Order No. 102, s. 2020","January 10, 2020",https://www.officialgazette.gov.ph/2020/01/10/executive-order-no-102-s-2020/,"MODIFYING THE RATES OF IMPORT DUTY ON CERTAIN IMPORTED ARTICLES IN ORDER TO IMPLEMENT THE PHILIPPINE TARIFF COMMITMENTS PURSUANT TO THE FREE TRADE AGREEMENT BETWEEN THE ASSOCIATION OF SOUTHEAST ASIAN NATIONS (ASEAN) AND HONG KONG, CHINA","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
81,"Executive Order No. 101, s. 2020","January 10, 2020",https://www.officialgazette.gov.ph/2020/01/10/executive-order-no-101-s-2020/,CREATING AN INTER-AGENCY TASK FORCE ON ZERO HUNGER,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
82,"Executive Order No. 100, s. 2019","December 19, 2019",https://www.officialgazette.gov.ph/2019/12/19/executive-order-no-100-s-2019/,"INSTITUTIONALIZING THE DIVERSITY AND INCLUSION PROGRAM, CREATING AN INTER-AGENCY COMMITTEE ON DIVERSITY AND INCLUSION, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
83,"Executive Order No. 99, s. 2019","December 6, 2019",https://www.officialgazette.gov.ph/2019/12/06/executive-order-no-99-s-2019/,ENJOINING ALL SANGGUNIANG BARANGAYS TO ESTABLISH A YULETIDE SOCIAL ASSISTANCE PROGRAM FOR ALL BARANGAY OFFICIALS AND FUNCTIONARIES FOR FISCAL YEAR (FY) 2019,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
84,"Executive Order No. 98, s. 2019","November 29, 2019",https://www.officialgazette.gov.ph/2019/11/29/executive-order-no-98-s-2019/,"PROVIDING GUIDELINES ON THE DETAIL OF PERSONNEL OF THE ARMED FORCES OF THE PHILIPPINES AND THE PHILIPPINE NATIONAL POLICE TO CIVILIAN OFFICES AND OFFICIALS, AND REPEALING EXECUTIVE ORDER NOS. 41 (S. 1966) AND 207 (S. 2016) FOR THE PURPOSE","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
85,"Executive Order No. 97, s. 2019","November 29, 2019",https://www.officialgazette.gov.ph/2019/11/29/executive-order-no-97-s-2019/,"REORGANIZING THE PRESIDENTIAL COMMISSION ON VISITING FORCES, THEREBY AMENDING EXECUTIVE ORDER NO. 175 (S. 2014)","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
86,"Executive Order No. 96, s. 2019","November 28, 2019",https://www.officialgazette.gov.ph/2019/11/28/executive-order-no-96-s-2019/,"ESTABLISHING THE PHILIPPINE RAILWAYS INSTITUTE UNDER THE DEPARTMENT OF TRANSPORTATION AS THE PLANNING, IMPLEMENTING AND REGULATORY AGENCY FOR HUMAN RESOURCES DEVELOPMENT IN THE RAILWAYS SECTOR","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
87,"Executive Order No. 95, s. 2019","November 15, 2019",https://www.officialgazette.gov.ph/2019/11/15/executive-order-no-95-s-2019/,"REORGANIZING THE NATIONAL CYBERSECURITY INTER-AGENCY COMMITTEE, AMENDING EXECUTIVE ORDER NO. 189 (S. 2015) AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
88,"Executive Order No. 94, s. 2019","November 8, 2019",https://www.officialgazette.gov.ph/2019/11/08/executive-order-no-94-s-2019/,AUTHORIZING THE GRANT OF FINANCIAL SUPPORT TO THE CITIZEN ARMED FORCE GEOGRAPHICAL UNIT ACTIVE AUXILIARY SERVICE,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
89,"Executive Order No. 93, s. 2019","November 8, 2019",https://www.officialgazette.gov.ph/2019/11/08/executive-order-no-93-s-2019/,DISESTABLISHMENT OF THE PASIG RIVER REHABILITATION COMMISSION,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
90,"Executive Order No. 92, s. 2019","September 17, 2019",https://www.officialgazette.gov.ph/2019/09/17/executive-order-no-92-s-2019/,INSTITUTIONALIZING THE NATIONAL COUNCIL AGAINST CHILD LABOR TO UPSCALE THE IMPLEMENTATION OF THE PHILIPPINE PROGRAM AGAINST CHILD LABOR,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
91,"Executive Order No. 91, s. 2019","September 9, 2019",https://www.officialgazette.gov.ph/2019/09/09/executive-order-no-91-s-2019/,"ADOPTING THE CASH BUDGETING SYSTEM BEGINNING FISCAL YEAR 2019, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
92,"Executive Order No. 90, s. 2019","August 28, 2019",https://www.officialgazette.gov.ph/2019/08/28/executive-order-no-90-s-2019/,"FURTHER AMENDING EXECUTIVE ORDER NO. 54 (S. 1999), AS AMENDED, BY TRANSFERRING THE CHAIRMANSHIP OF THE PASIG RIVER REHABILITATION COMMISSION TO THE DEPARTMENT OF ENVIRONMENT AND NATURAL RESOURCES, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
93,"Executive Order No. 89, s. 2019","August 28, 2019",https://www.officialgazette.gov.ph/2019/08/28/executive-order-no-89-s-2019/,ADJUSTING THE DIVIDEND RATE OF SELECTED GOVERNMENT-OWNED OR -CONTROLLED CORPORATIONS PURSUANT TO SECTION 5 OF REPUBLIC ACT NO. 7656,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
94,"Executive Order No. 88, s. 2019","August 13, 2019",https://www.officialgazette.gov.ph/2019/08/13/executive-order-no-88-s-2019/,REDUCTION AND CONDONATION OF REAL PROPERTY TAXES AND INTEREST/PENALTIES ASSESSED ON THE POWER GENERATION FACILITIES OF INDEPENDENT POWER PRODUCERS UNDER BUILD-OPERATE-TRANSFER CONTRACTS WITH GOVERNMENT-OWNED OR-CONTROLLED CORPORATIONS,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
95,"Executive Order No. 87, s. 2019","August 13, 2019",https://www.officialgazette.gov.ph/2019/08/13/executive-order-no-87-s-2019/,"DIRECTING THAT ALL ACCOUNTS PAYABLE WHICH REMAIN OUTSTANDING FOR TWO YEARS OR MORE IN THE BOOKS OF NATIONAL GOVERNMENT AGENCIES BE REVERTED TO THE ACCUMULATED SURPLUS OR DEFICIT OF THE GENERAL FUND, OR THE CUMULATIVE RESULT OF OPERATIONS OF THE NATIONAL GOVERNMENT","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
96,"Executive Order No. 86, s. 2019","July 25, 2019",https://www.officialgazette.gov.ph/2019/07/25/executive-order-no-86-s-2019/,"AMENDING EXECUTIVE ORDER NO. 24 (S. 2017), ENTITLED “REORGANIZING THE CABINET CLUSTERS SYSTEM BY INTEGRATING GOOD GOVERNANCE AND ANTI-CORRUPTION IN THE POLICY FRAMEWORKS OF ALL THE CLUSTERS AND CREATING THE INFRASTRUCTURE CLUSTER AND PARTICIPATORY GOVERNANCE CLUSTER”","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
97,"Executive Order No. 85, s. 2019","July 19, 2019",https://www.officialgazette.gov.ph/2019/07/19/executive-order-no-85-s-2019/,"REDUCING THE RATES OF DUTY ON CAPITAL EQUIPMENT, SPARE PARTS AND ACCESSORIES IMPORTED BY BOARD OF INVESTMENTS – REGISTERED NEW AND EXPANDING ENTERPRISES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
98,"Executive Order No. 84, s. 2019","July 2, 2019",https://www.officialgazette.gov.ph/2019/07/02/executive-order-no-84-s-2019/,CREATION OF AN INTER-AGENCY COUNCIL ON THE INTERNATIONAL MARITIME ORGANIZATION MEMBER STATE AUDIT SCHEME,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
99,"Executive Order No. 83, s. 2019","June 17, 2019",https://www.officialgazette.gov.ph/2019/06/17/executive-order-no-83-s-2019/,APPROVING AND ADOPTING THE NATIONAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT PLAN 2018-2022,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
100,"Executive Order No. 82, s. 2019","June 13, 2019",https://www.officialgazette.gov.ph/2019/06/13/executive-order-no-82-s-2019/,"MODIFYING THE NOMENCLATURE AND RATES OF IMPORT DUTY ON CERTAIN AGRICULTURAL PRODUCTS UNDER SECTION 1611 OF REPUBLIC ACT NO. 10863, OTHERWISE KNOWN AS THE CUSTOMS MODERNIZATION AND TARIFF ACT","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
101,"Executive Order No. 81, s. 2019","June 4, 2019",https://www.officialgazette.gov.ph/2019/06/04/executive-order-no-81-s-2019/,"RECLASSIFYING THE CLARK INDUSTRIAL ESTATE 5 AS AN INTERNATIONAL CENTER OF COMMERCE, INDUSTRY, LEISURE AND RECREATION, AND AMENDING EXECUTIVE ORDER NO. 716, SERIES OF 2008, FOR THIS PURPOSE","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
102,"Executive Order No. 80, s. 2019","May 28, 2019",https://www.officialgazette.gov.ph/2019/05/28/executive-order-no-80-s-2019/,"RATIONALIZING THE RULES FOR THE ENGAGEMENT OF THIRD PARTY PARTICIPANTS UNDER PETROLEUM SERVICE CONTRACTS, REPEALING FOR THE PURPOSE EXECUTIVE ORDER NO. 556 (s. 2006)","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
103,"Executive Order No. 79, s. 2019","April 24, 2019",https://www.officialgazette.gov.ph/2019/04/24/executive-order-no-79-s-2019/,IMPLEMENTING THE ANNEX ON NORMALIZATION UNDER THE COMPREHENSIVE AGREEMENT ON THE BANGSAMORO,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
104,"Executive Order No. 78, s. 2019","March 15, 2019",https://www.officialgazette.gov.ph/2019/03/15/executive-order-no-78-s-2019/,TRANSFERRING THE PHILIPPINE AEROSPACE DEVELOPMENT CORPORATION TO THE DEPARTMENT OF NATIONAL DEFENSE,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
105,"Executive Order No. 77, s. 2019","March 15, 2019",https://www.officialgazette.gov.ph/2019/03/15/executive-order-no-77-s-2019/,PRESCRIBING RULES AND REGULATIONS AND RATES OF EXPENSES AND ALLOWANCES FOR OFFICIAL LOCAL AND FOREIGN TRAVELS OF GOVERNMENT PERSONNEL,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
106,"Executive Order No. 76, s. 2019","March 15, 2019",https://www.officialgazette.gov.ph/2019/03/15/executive-order-no-76-s-2019/,"AMENDING EXECUTIVE ORDER NO. 201 (S. 2016), ENTITLED “MODIFYING THE SALARY SCHEDULE FOR CIVILIAN GOVERNMENT PERSONNEL AND AUTHORIZING THE GRANT OF ADDITIONAL BENEFITS FOR BOTH CIVILIAN AND MILITARY AND UNIFORMED PERSONNEL”","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
107,"Executive Order No. 75, s. 2019","February 1, 2019",https://www.officialgazette.gov.ph/2019/02/01/executive-order-no-75-s-2019/,"DIRECTING ALL DEPARTMENTS, BUREAUS, OFFICES AND INSTRUMENTALITIES OF THE GOVERNMENT TO IDENTIFY LANDS OWNED BY THE GOVERNMENT DEVOTED TO OR SUITABLE FOR AGRICULTURE FOR DISTRIBUTION TO QUALIFIED BENEFICIARIES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
108,"Executive Order No. 74, s. 2019","February 1, 2019",https://www.officialgazette.gov.ph/2019/02/01/executive-order-no-74-s-2019/,"MALACAÑAN PALACE MANILA BY THE PRESIDENT OF THE PHILIPPINES EXECUTIVE ORDER NO. 74 REPEALING EXECUTIVE ORDER (EO) NO. 798 (S. 2009) AND EO NO. 146 (S. 2013), TRANSFERRING THE PHILIPPINE RECLAMATION AUTHORITY (PRA) TO THE OFFICE OF THE PRESIDENT (OP), DELEGATING TO THE PRA GOVERNING BOARD THE POWER OF THE PRESIDENT TO APPROVE RECLAMATION PROJECTS, […]","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
109,"Executive Order No. 73, s. 2018","December 28, 2018",https://www.officialgazette.gov.ph/2018/12/28/executive-order-no-73-s-2018/,MALACAÑAN PALACE MANILA BY THE PRESIDENT OF THE PHILIPPINES EXECUTIVE ORDER NO. 73 AMENDING EXECUTIVE ORDER NO. 43 (S. 2017) CREATING THE PRESIDENTIAL ANTI-CORRUPTION COMMISSION    ,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
